,Розничный Прайс-лист от 04/05/2006,,
,3015, Лампа-луна,"1,420,000"
,3016, Лампа-лупа большойьшая,"405,000"
,3017, Лед лампа на голову  ,"150,000"
,3018, Лампа Миллениум 2цветная  ,"1,250,000"
,3019, Штатив для съемки  ,"250,000"
,3020, Стул 3027DS ,"600,000"
,3021, Стул 3027DS ,"600,000"
,3022, Стул круглый 3021SP черный NE (нечаева)W,"530,000"
,3023, Стул круглый 3027 DS ,"600,000"
,3024, Стул круглый со спинкой 3027КВ ,"600,000"
,3025, Стул седло 3014SGD ,"730,000"
,3026, Стул седло без спинки 3013D,"680,000"
,3027, Стул седло белый 3001КВ,"800,000"
,3028, Стул со спинкой 3026КВ голубой,"800,000"
,3029, Стул со спинкой белый 3088-026-KB,"870,000"
,3030, Стул со спинкой Золотой цвет 3075-KB,"1,100,000"
,3031, Стул со спинкой Розовый 3044-13BK,"910,000"
,3032, Стул со спинкой Серебрянный цвет 3075-KB,"1,100,000"
,3033, Стул со спинкой 3044-13BK,"740,000"
,3034, Стул со спинкой 3076КВ,"770,000"
,3035, Стул черный 3024 с подножкой NE (нечаева)W,"550,000"
,3036, Стул  черный,"550,000"
,3037, Стул  белый,"550,000"
,3038, Стул 3076,"600,000"
,3039, Стул-седло со спинкой  3013KB,"999,000"
,3040, Стул-седло 3001KB,"950,000"
,3041, PILOT ручка/маркер,"40,000"
,3042, Бандажная защита 5см,"15,000"
,3043," Бандажная защита узкая 2,5см","10,000"
,3044, Барьерная защита для тату машин OFEYLE  ,"40,000"
,3045, Барьерная защита для тату машин OFEYLE  ,"40,000"
,3046, Защита на клипкорд  /голубая,"50,000"
,3047, Защита на клипкорд  /черная,"50,000"
,3048, Капсы обычные ,"25,000"
,3049, Капсы силиконовые 100шт,"20,000"
,3050, Карандаш самозатачивающийся  light brown,"10,000"
,3051, Карандаш самозатачивающийся  red brown,"10,000"
,3052, Карандаш самозатачивающийся  черный,"10,000"
,3053, Карандаш самозатачивающийся белаяый,"10,000"
,3054, Карандаш самозатачивающийся коричневый,"10,000"
,3055, Колечки для пигментов 1упаковка,"20,000"
,3056, Колечки для пигментов 1упаковка,"15,000"
,3057, Контейнер для Перманентного макияжа,"25,000"
,3058, Подставка под капсы металлическая,"15,000"
,3059, Подставка силикон Перманентного макияжа круглая,"10,000"
,3060, Силик подставка,"10,000"
,3061, Трафарет для бровей ,"35,000"
,3062, Тренировочный каркас 5D для Перманентного макияжа,"15,000"
,3063, Тренировочная кожа в ассорт,"9,000"
,3064, Аренда кушеток (сутки),"100,000"
,3065, Заточка пинцетов(штука) 3-7 дней,"60,000"
,3066, Заточка прямых пинцетов(штука) 3-7 дней,"25,000"
,3067, Пакет бумажный большой,"2,000"
,3068, Пакет пластиковый средний 500,500
,3069, Пакет пластиковый средний 700,700
,3070, Подарочный сертификат 500.000,"500,000"
,3071, Подарочный Сертификат на 1 млн,"1,000,000"
,3072, Nikk Mole Минеральный раствор для хны 100 мл,"50,000"
,3073, Nikk Mole Минеральный раствор для хны 30 мл,"35,000"
,3074, Хна Ekko beauty  ,"135,000"
,3075, Хна Ekko beauty  ,"135,000"
,3076, Хна Ekko beauty  ,"135,000"
,3077, Хна Ekko beauty  ,"135,000"
,3078, Хна Ekko beauty  ,"135,000"
,3079, Хна Ekko beauty  ,"135,000"
,3080, Хна Ekko beauty  ,"135,000"
,3081, Хна Ekko beauty  ,"135,000"
,3082, Броу Хенна Хна #210 Янтарн концет10мл,"180,000"
,3083, Броу Хенна Хна Блонд #201  Жемчужн 10мл,"180,000"
,3084, Броу Хенна Хна Блонд #202 с.русый 10мл,"180,000"
,3085, Броу Хенна Хна Блонд #203 Орех 10мл,"180,000"
,3086, Броу Хенна Хна Блонд #204 зол блонд 10мл,"180,000"
,3087, Броу Хенна Хна Блонд #205 т-русый 10ml,"180,000"
,3088, Броу Хенна Хна Блонд набор 3 цвета 18г,"410,000"
,3089, Броу Хенна Хна Графит конц #110 10мл,"180,000"
,3090, Броу Хенна Хна Шат #101 нейтр-кор 10мл,"180,000"
,3091, Броу Хенна Хна Шат #102 хол.кофе 10мл,"180,000"
,3092, Броу Хенна Хна Шат #103 насыщ.серо-кор 10мл,"180,000"
,3093, Броу Хенна Хна Шат #104 г.шок 10мл,"180,000"
,3094, Броу Хенна Хна Шат #105 мороз каш 10мл,"180,000"
,3095, Броу Хенна Хна Шат #106 Пыльно корич 10мл,"180,000"
,3096, Броу Хенна Хна Шат #107 Тёмная земля 10мл,"180,000"
,3097, Броу Хенна Хна Шат #108 Древесный винный 10мл,"180,000"
,3098, Броу Хенна Хна Шатен Набор 3 цвета 18г,"410,000"
,3099," Ресницы LASHY Vivid ""Flame"" C 0.07 10-13","85,000"
,3100," Ресницы LASHY Vivid ""Flame"" C 0.10 10-13","85,000"
,3101," Ресницы LASHY Vivid ""Flame"" D 0.07 10-13","85,000"
,3102," Ресницы LASHY Vivid ""Flame"" D 0.10 10-13","85,000"
,3103," Ресницы LASHY Vivid ""Frost"" C 0.07 10-13","85,000"
,3104," Ресницы LASHY Vivid ""Frost"" C 0.10 10-13","85,000"
,3105," Ресницы LASHY Vivid ""Frost"" D 0.07 10-13","85,000"
,3106," Ресницы LASHY Vivid ""Frost"" D 0.10 10-13","85,000"
,3107," Ресницы LASHY Vivid ""Frost"" L 0.07 10-13","85,000"
,3108," Ресницы LASHY Vivid ""Frost"" M 0.07 10-13","85,000"
,3109, Ресницы Rili Juicy неоновые желтые  C 0.07 7-14,"75,000"
,3110, Ресницы Rili Juicy неоновые желтые  C 0.10 7-14,"75,000"
,3111, Ресницы Rili Juicy неоновые желтые  D 0.10 7-14,"75,000"
,3112, Ресницы Rili Juicy неоновые зеленые  C 0.07 7-14,"75,000"
,3113, Ресницы Rili Juicy неоновые зеленые  C 0.10 7-14,"75,000"
,3114, Ресницы Rili Juicy неоновые зеленые  D 0.07 7-14,"75,000"
,3115, Ресницы Rili Juicy неоновые зеленые  D 0.10 7-14,"75,000"
,3116, Ресницы Rili Juicy неоновые розовые C 0.07 7-14,"75,000"
,3117, Ресницы Rili Juicy неоновые розовые C 0.10 7-14,"75,000"
,3118, Ресницы Rili Juicy неоновые розовые D 0.07 7-14,"75,000"
,3119, Ресницы Rili Juicy неоновые розовые D 0.10 7-14,"75,000"
,3120, Ресницы Rili Juicy неоновые розовые L 0.10 7-14,"85,000"
,3121, Ресницы Rili Juicy неоновые розовые M 0.10 7-14,"85,000"
,3122, Ресницы Rili Juicy неоновые синие  C 0.07 7-14,"75,000"
,3123, Ресницы Rili Juicy неоновые синие  C 0.10 7-14,"75,000"
,3124, Ресницы Rili Juicy неоновые синие  D 0.07 7-14,"75,000"
,3125, Ресницы Rili Juicy неоновые синие  D 0.10 7-14,"75,000"
,3126, Ресницы Rili Sweety Зеленые D 0.07*7-14,"75,000"
,3127, Ресницы Rili Sweety Зеленые D 0.10*7-14,"75,000"
,3128, Ресницы Rili Sweety Зеленые С 0.07*7-14,"75,000"
,3129, Ресницы Rili Sweety Зеленые С 0.10*7-14,"75,000"
,3130, Ресницы Rili Sweety синие C 0.07 7-14,"75,000"
,3131, Ресницы Rili Sweety синие C 0.10 7-14,"75,000"
,3132, Ресницы Rili Sweety синие D 0.07 7-14,"75,000"
,3133, Ресницы Rili Sweety синие D 0.10 7-14,"75,000"
,3134, Ресницы Rili Sweety Фиолетовые D 0.07 7-14,"75,000"
,3135, Ресницы Rili Sweety Фиолетовые D 0.10 7-14,"75,000"
,3136, Ресницы Rili Sweety Фиолетовые С 0.07*7-14,"75,000"
,3137, Ресницы Rili Sweety Фиолетовые С 0.10*7-14,"75,000"
,3138, Ресницы BARABARA Cиние Мини C 0.07*7-12,"76,000"
,3139, Ресницы BARABARA Cиние Мини C 0.10*7-12,"76,000"
,3140, Ресницы BARABARA Cиние Мини D 0.10*7-12,"76,000"
,3141, Ресницы BARABARA TRENDY C 0.07*10,"155,000"
,3142, Ресницы BARABARA TRENDY C 0.07*11,"155,000"
,3143, Ресницы BARABARA TRENDY C 0.07*12,"155,000"
,3144, Ресницы BARABARA TRENDY C 0.07*13,"155,000"
,3145, Ресницы BARABARA TRENDY C 0.07*14,"155,000"
,3146, Ресницы BARABARA TRENDY C 0.10*10,"155,000"
,3147, Ресницы BARABARA TRENDY C 0.10*11,"155,000"
,3148, Ресницы BARABARA TRENDY C 0.10*12,"155,000"
,3149, Ресницы BARABARA TRENDY C 0.10*13,"155,000"
,3150, Ресницы BARABARA TRENDY C 0.10*14,"155,000"
,3151, Ресницы BARABARA TRENDY D 0.07*10,"155,000"
,3152, Ресницы BARABARA TRENDY D 0.07*11,"155,000"
,3153, Ресницы BARABARA TRENDY D 0.07*12,"155,000"
,3154, Ресницы BARABARA TRENDY D 0.07*13,"155,000"
,3155, Ресницы BARABARA TRENDY D 0.07*14,"155,000"
,3156, Ресницы BARABARA TRENDY D 0.10*10,"155,000"
,3157, Ресницы BARABARA TRENDY D 0.10*11,"155,000"
,3158, Ресницы BARABARA TRENDY D 0.10*12,"155,000"
,3159, Ресницы BARABARA TRENDY D 0.10*13,"155,000"
,3160, Ресницы BARABARA TRENDY D 0.10*14,"155,000"
,3161, Ресницы BARABARA TRENDY L 0.10*11,"165,000"
,3162, Ресницы BARABARA TRENDY L 0.10*12,"165,000"
,3163, Ресницы BARABARA TRENDY L 0.10*13,"165,000"
,3164, Ресницы BARABARA TRENDY L 0.10*14,"165,000"
,3165, Ресницы BARABARA бело-черные  C 0.07*7-15,"155,000"
,3166, Ресницы BARABARA бело-черные  C 0.10*7-15,"155,000"
,3167, Ресницы BARABARA бело-черные  D 0.07*7-15,"155,000"
,3168, Ресницы BARABARA бело-черные  D 0.10*7-15,"155,000"
,3169, Ресницы BARABARA Голубо-Фиолетовые С 0.07*7-15,"155,000"
,3170," Ресницы BARABARA Зеленые  D 0,07*7-15","155,000"
,3171," Ресницы BARABARA Зеленые  D 0,10*7-15","155,000"
,3172," Ресницы BARABARA Зеленые  С 0,10*7-15","155,000"
,3173, Ресницы BARABARA Color Зеленые  D 0.07*7-15,"155,000"
,3174, Ресницы BARABARA Color Зеленые  С 0.07*7-15,"155,000"
,3175, Ресницы BARABARA Колор.№1 коричневые Mix D0.07*7-12,"155,000"
,3176," Ресницы BARABARA Комбо зелено-коричневые D 0,07*7-15","155,000"
,3177," Ресницы BARABARA Комбо зелено-коричневые С 0,10*7-15","155,000"
,3178," Ресницы BARABARA Красные D0,07*7-15","155,000"
,3179," Ресницы BARABARA Красные С0,07*7-15","155,000"
,3180," Ресницы BARABARA Лазурные  D 0,07*7-15","155,000"
,3181," Ресницы BARABARA Лазурные  D 0,10*7-15","155,000"
,3182," Ресницы BARABARA Лазурные  С 0,07*7-15","155,000"
,3183," Ресницы BARABARA Лазурные  С 0,10*7-15","155,000"
,3184," Ресницы BARABARA Омбре синие Д 0,07*7-15","155,000"
,3185," Ресницы BARABARA Омбре синие Д 0,10*7-15","155,000"
,3186," Ресницы BARABARA Омбре синие С 0,07*7-15","155,000"
,3187," Ресницы BARABARA Омбре синие С 0,10*7-15","155,000"
,3188," Ресницы BARABARA Омбре фиолетовые D0,10*7-15","155,000"
,3189," Ресницы BARABARA Омбре фиолетовые С0,10*7-15","155,000"
,3190," Ресницы BARABARA Розовые С0,07*7-15","155,000"
,3191," Ресницы BARABARA Синие D 0,07*7-15","155,000"
,3192," Ресницы BARABARA Синие D 0,10*7-15","155,000"
,3193," Ресницы BARABARA Синие L 0,10*7-15","165,000"
,3194, Ресницы BARABARA Синие M 0.10*7-15,"165,000"
,3195," Ресницы BARABARA Синие С 0,07*7-15","155,000"
,3196," Ресницы BARABARA Синие С 0,10*7-15","155,000"
,3197," Ресницы BARABARA триколор черно-сине-фиолетовые  C 0,07*7-15","155,000"
,3198," Ресницы BARABARA триколор черно-сине-фиолетовые  C 0,10*7-15","155,000"
,3199," Ресницы BARABARA триколор черно-сине-фиолетовые  D 0,07*7-15","155,000"
,3200," Ресницы BARABARA триколор черно-сине-фиолетовые  D 0,10*7-15","155,000"
,3201," Ресницы BARABARA триколор черно-сине-фиолетовые  L 0,10*7-15","165,000"
,3202," Ресницы BARABARA триколор черно-сине-фиолетовые  M 0,10*7-15","165,000"
,3203," Ресницы BARABARA Фиолетовые   L 0,10*7-15","165,000"
,3204," Ресницы BARABARA Фиолетовые  Д 0,07 *7-15","155,000"
,3205," Ресницы BARABARA Фиолетовые  Д 0,10 *7-15","155,000"
,3206," Ресницы BARABARA Фиолетовые  М 0,10*7-15","155,000"
,3207," Ресницы BARABARA Фиолетовые  С 0,07 *7-15","155,000"
,3208," Ресницы BARABARA Фиолетовые  С 0,10 *7-15","155,000"
,3209," Ресницы BARABARA Фуксия  D 0,07*7-15","155,000"
,3210," Ресницы BARABARA Фуксия  С 0,07*7-15","155,000"
,3211,Ресницы Лавли Red wine C 0.10*7-13(винные 20 лент),"149,000"
,3212,Ресницы Лавли Red wine C+0.10*7-13(винные 20 лент),"149,000"
,3213,Ресницы Лавли Violet C 0.07*10-14 6лент(лиловые),"79,000"
,3214,Ресницы Лавли Violet C 0.10*7-11 6лент(лиловые),"79,000"
,3215,Ресницы Лавли Violet D 0.07*10-14 6лент(лиловые),"79,000"
,3216,Ресницы Лавли белые  Mini Mix C 0.07*10-14mm,"79,000"
,3217,Ресницы Лавли белые  Mini Mix C 0.07*7-11mm,"79,000"
,3218,Ресницы Лавли белые  Mini Mix C 0.10*10-14mm,"79,000"
,3219,Ресницы Лавли белые  Mini Mix C 0.10*7-11mm,"79,000"
,3220,Ресницы Лавли белые  Mini Mix C+ 0.07*7-13mm,"79,000"
,3221,Ресницы Лавли белые  Mini Mix C+ 0.10*7-11mm,"79,000"
,3222,Ресницы Лавли белые  Mini Mix D 0.07*10-14mm,"79,000"
,3223,Ресницы Лавли белые  Mini Mix D 0.07*7-11mm,"79,000"
,3224,Ресницы Лавли белые  Mini Mix D 0.10*10-14mm,"79,000"
,3225,Ресницы Лавли белые  Mini Mix D 0.10*7-11mm,"79,000"
,3226,Ресницы Лавли белые  Mini Mix С+0.10*10-14mm,"79,000"
,3227,"Ресницы Лавли двухтонные  зеленые Mix С+0,07*7-13","149,000"
,3228,Ресницы Лавли двухтонные зеленые Mix C+0.10*7-13,"149,000"
,3229,Ресницы Лавли двухтонные зеленые Mix D 0.07*7-13,"149,000"
,3230,Ресницы Лавли двухтонные зеленые Mix D 0.10*7-13,"149,000"
,3231,"Ресницы Лавли двухтонные зеленые Mix С 0,07*7-13","149,000"
,3232,Ресницы Лавли двухтонные синие MINI Mix D0.07*7-11,"79,000"
,3233,Ресницы Лавли двухтонные синие MINI Mix D0.10*10-14,"79,000"
,3234,"Ресницы Лавли двухтонные синие Mix D 0,10*7-13","149,000"
,3235,Ресницы Лавли двухтонные синие Mix D 0.07*7-13,"149,000"
,3236,"Ресницы Лавли двухтонные синие Mix С 0,07*7-13","149,000"
,3237,"Ресницы Лавли двухтонные синие Mix С 0,10*7-13","149,000"
,3238,"Ресницы Лавли двухтонные синие Mix С+ 0,07*7-13","149,000"
,3239,"Ресницы Лавли двухтонные синие Mix С+ 0,10*7-13","149,000"
,3240,Ресницы Лавли двухтонные фиол D 0.07*7-13,"149,000"
,3241,Ресницы Лавли двухтонные фиол D 0.10*7-13мм,"149,000"
,3242,"Ресницы Лавли двухтонные фиол Mini Mix C 0,07*7-11мм","79,000"
,3243,"Ресницы Лавли двухтонные фиол Mini Mix D 0,07*7-11мм","79,000"
,3244,"Ресницы Лавли двухтонные фиол С+ 0,07*7-13мм","149,000"
,3245,"Ресницы Лавли двухтонные фиол С+0,10*7-13мм","149,000"
,3246,"Ресницы Лавли двухтонные фиол С0,07*7-13мм","149,000"
,3247,"Ресницы Лавли двухтонные фиол С0,10*7-13мм","149,000"
,3248,Ресницы Лавли двухцв.Green-Brown Mix D 0.010*7-13,"149,000"
,3249,Ресницы Лавли Зеленые  C 0.07*7-13,"149,000"
,3250,Ресницы Лавли Зеленые  C 0.10*7-13,"149,000"
,3251,Ресницы Лавли Зеленые  D 0.07*7-13,"149,000"
,3252,Ресницы Лавли Зеленые  D 0.10*7-13,"149,000"
,3253,Ресницы Лавли изумрудные (emerald) Mini mix C+ 0.07*10-14,"79,000"
,3254,Ресницы Лавли изумрудные (emerald) Mini mix D 0.10*10-14,"79,000"
,3255,Ресницы Лавли изумрудные (emerald) Mini mixD 0.10*7-11,"79,000"
,3256,Ресницы Лавли изумрудные (emerald) Mix C+0.07*7-13,"149,000"
,3257,Ресницы Лавли изумрудные (emerald) Mix D 0.10*7-13,"149,000"
,3258,Ресницы Лавли Лазурные (AZURE) Mix C+0.07*7-13,"149,000"
,3259,Ресницы Лавли Лазурные (AZURE) Mix D 0.10*7-13,"149,000"
,3260,Ресницы Лавли Лиловые Mini mix C 0.07*7-11,"79,000"
,3261,Ресницы Лавли Лиловые Mini mix C+0.10*10-14,"79,000"
,3262,Ресницы Лавли Лиловые Mini mix C+0.10*7-11,"79,000"
,3263,Ресницы Лавли Лиловые Mini mix D 0.07*7-11,"79,000"
,3264,Ресницы Лавли Малиновые Mini Mix C+0.10*10-14,"79,000"
,3265,Ресницы Лавли Малиновые Mini Mix C+0.10*7-11,"79,000"
,3266,Ресницы Лавли Малиновые Mini Mix C0.07*10-14,"79,000"
,3267,"Ресницы Лавли палитра ""Пастель"" D 0.07*11mm","149,000"
,3268,"Ресницы Лавли палитра ""Пастель"" D 0.07*12mm","149,000"
,3269,"Ресницы Лавли палитра ""Пастель"" D 0.07*13mm","149,000"
,3270,"Ресницы Лавли палитра ""Пастель"" D 0.07*14mm","149,000"
,3271,"Ресницы Лавли палитра ""Салют"" C 0.07*14","149,000"
,3272,"Ресницы Лавли палитра ""Салют"" C 0.10*11","149,000"
,3273,"Ресницы Лавли палитра ""Салют"" C 0.10*12","149,000"
,3274,"Ресницы Лавли палитра ""Салют"" C+ 0.10*12","149,000"
,3275,"Ресницы Лавли палитра ""Салют"" C+0.07*10","149,000"
,3276,"Ресницы Лавли палитра ""Салют"" C+0.07*11","149,000"
,3277,"Ресницы Лавли палитра ""Салют"" C+0.07*12","149,000"
,3278,"Ресницы Лавли палитра ""Салют"" C+0.07*13","149,000"
,3279,"Ресницы Лавли палитра ""Салют"" C+0.10*11","149,000"
,3280,"Ресницы Лавли палитра ""Салют"" C+0.10*13","149,000"
,3281,"Ресницы Лавли палитра ""Салют"" C0.07*12","149,000"
,3282,"Ресницы Лавли палитра ""Салют"" C0.10*14","149,000"
,3283,"Ресницы Лавли палитра ""Салют"" D 0.10*14","149,000"
,3284,"Ресницы Лавли палитра ""Салют"" Д 0.07*10","149,000"
,3285,"Ресницы Лавли палитра ""Салют"" Д 0.07*11","149,000"
,3286,"Ресницы Лавли палитра ""Салют"" Д 0.07*12","149,000"
,3287,"Ресницы Лавли палитра ""Салют"" Д 0.07*13","149,000"
,3288,"Ресницы Лавли палитра ""Салют"" Д 0.07*14","149,000"
,3289,"Ресницы Лавли палитра ""Салют"" Д 0.07*15","149,000"
,3290,"Ресницы Лавли палитра ""Салют"" Д 0.10*10","149,000"
,3291,"Ресницы Лавли палитра ""Салют"" Д 0.10*11","149,000"
,3292,"Ресницы Лавли палитра ""Салют"" Д 0.10*12","149,000"
,3293,"Ресницы Лавли палитра ""Салют"" Д 0.10*13","149,000"
,3294,"Ресницы Лавли палитра ""Салют"" Д 0.10*15","149,000"
,3295,"Ресницы Лавли палитра ""Феерия"" C+ 0.10*11мм","149,000"
,3296,"Ресницы Лавли палитра ""Феерия"" C+ 0.10*12мм","149,000"
,3297,"Ресницы Лавли палитра ""Феерия"" D 0.10*11мм","149,000"
,3298,"Ресницы Лавли палитра ""Феерия"" D 0.10*13мм","149,000"
,3299,"Ресницы Лавли палитра ""Феерия"" D 0.10*14мм","149,000"
,3300,"Ресницы Лавли палитра ""Феерия"" Д 0.10*10мм","149,000"
,3301,Ресницы Лавли Розовые (pink) Mini Mix C+0.07*7-11,"79,000"
,3302,Ресницы Лавли Синие  C 0.10*7-13,"149,000"
,3303,Ресницы Лавли Синие (blue) D 0.07*7-13,"149,000"
,3304,Ресницы Лавли Синие (blue) D 0.10*7-13,"149,000"
,3305,Ресницы Лавли Синие (blue) D 0.10*8-15,"149,000"
,3306,Ресницы Лавли Синие (blue) С 0.07*7-13,"149,000"
,3307,Ресницы Лавли Синие (blue) С+ 0.07*7-13,"149,000"
,3308,Ресницы Лавли Синие (blue) С+ 0.07*8-15,"149,000"
,3309,Ресницы Лавли Синие (blue) С+ 0.10*7-13,"149,000"
,3310,Ресницы Лавли Фиолетовые  C 0.07*7-13,"149,000"
,3311,Ресницы Лавли Фиолетовые  C 0.10*7-13,"149,000"
,3312,Ресницы Лавли Фиолетовые  C+ 0.07*7-13,"149,000"
,3313,Ресницы Лавли Фиолетовые  D 0.07*7-13,"149,000"
,3314,Ресницы Лавли Фиолетовые  D 0.07*8-15,"149,000"
,3315,Ресницы Лавли Фиолетовые  D 0.10*7-13,"149,000"
,3316,Ресницы Лавли айвори MIX D 0.07*7-13 (16лент),"85,000"
,3317,Ресницы Лавли айвори MIX D 0.10*8-15 (16лент),"85,000"
,3318,Ресницы Лавли айвори MIX С 0.07*7-13 (16лент),"85,000"
,3319,Ресницы Лавли айвори MIX С 0.10*8-15 (16лент),"85,000"
,3320,Ресницы Лавли зеленые MIX D 0.07*8-15 (16лент),"85,000"
,3321,Ресницы Лавли зеленые MIX D 0.10*7-13 (16лент),"85,000"
,3322,Ресницы Лавли зеленые MIX D 0.10*8-15 (16лент),"85,000"
,3323,Ресницы Лавли зеленые MIX С 0.07*8-15 (16лент),"85,000"
,3324,Ресницы Лавли зеленые MIX С 0.10*7-13 (16лент),"85,000"
,3325,Ресницы Лавли зеленые MIX С 0.10*8-15 (16лент),"85,000"
,3326,Ресницы Лавли изумрудные MIX D 0.10*8-15 (16лент),"85,000"
,3327,Ресницы Лавли изумрудные MIX С 0.10*8-15 (16лент),"85,000"
,3328,Ресницы Лавли омбре синие MIX D 0.10*8-15 (16лент),"85,000"
,3329,Ресницы Лавли омбре синие MIX С 0.10*8-15 (16лент),"85,000"
,3330,Ресницы Лавли омбре фиол MIX D 0.07*7-13 (16лент),"85,000"
,3331,Ресницы Лавли омбре фиол MIX D 0.07*8-15 (16лент),"85,000"
,3332,Ресницы Лавли омбре фиол MIX D 0.10*8-15 (16лент),"85,000"
,3333,Ресницы Лавли омбре фиол MIX С 0.07*7-13 (16лент),"85,000"
,3334,Ресницы Лавли омбре фиол MIX С 0.07*8-15 (16лент),"85,000"
,3335,Ресницы Лавли омбре фиол MIX С 0.10*7-13 (16лент),"85,000"
,3336,Ресницы Лавли омбре фиол MIX С 0.10*8-15 (16лент),"85,000"
,3337,Ресницы Лавли синие MIX C 0.07*7-13 (16лент),"85,000"
,3338,Ресницы Лавли синие MIX C 0.07*8-15 (16лент),"85,000"
,3339,Ресницы Лавли синие MIX C 0.10*7-13 (16лент),"85,000"
,3340,Ресницы Лавли синие MIX C 0.10*8-15 (16лент),"85,000"
,3341,Ресницы Лавли синие MIX D 0.07*8-15 (16лент),"85,000"
,3342,Ресницы Лавли синие MIX D 0.10*7-13 (16лент),"85,000"
,3343,Ресницы Лавли синие MIX D 0.10*8-15 (16лент),"85,000"
,3344,Ресницы Лавли фиол MIX C 0.07*7-13 (16лент),"85,000"
,3345,Ресницы Лавли фиол MIX C 0.07*8-15 (16лент),"85,000"
,3346,Ресницы Лавли фиол MIX C 0.10*7-13 (16лент),"85,000"
,3347,Ресницы Лавли фиол MIX C 0.10*8-15 (16лент),"85,000"
,3348,Ресницы Лавли фиол MIX D 0.07*8-15 (16лент),"85,000"
,3349,Ресницы Лавли фиол MIX D 0.10*7-13 (16лент),"85,000"
,3350,Ресницы Лавли фиол MIX D 0.10*8-15 (16лент),"85,000"
,3351,Ресницы Лавли фиол MIX L 0.07*8-15 (16лент),"90,000"
,3352,Ресницы Лавли фиол MIX L 0.10*8-15 (16лент),"90,000"
,3353,Ресницы Лавли фиол MIX M 0.07*8-15 (16лент),"90,000"
,3354,Ресницы Лавли фиол MIX M 0.10*8-15 (16лент),"90,000"
,3355,Ресницы i-BEAUTY Color Blue  Green CC 0.10*8-13,"105,000"
,3356,Ресницы i-Beauty Color Blue CC 0.10*8-14,"105,000"
,3357,Ресницы i-Beauty Color Blue D 0.10*8-14,"105,000"
,3358,Ресницы i-Beauty Color Hot pink CC 0.10*8-13,"105,000"
,3359,Ресницы i-Beauty Color Lashes C 0.10*12,"100,000"
,3360,Ресницы i-Beauty Color Lashes CC 0.10*10,"100,000"
,3361,Ресницы i-Beauty Color Lashes CC 0.10*11,"100,000"
,3362,Ресницы i-Beauty Color Lashes CC 0.10*12,"100,000"
,3363,Ресницы i-Beauty Color Lashes CC 0.10*13,"100,000"
,3364,Ресницы i-Beauty Color Purple  CC 0.10*8-14,"105,000"
,3365,Ресницы i-Beauty Color Purple  D 0.10*8-14,"105,000"
,3366,Ресницы i-Beauty Color White CC 0.10*8-14,"105,000"
,3367,Ресницы i-Beauty Gliter 4 цвета C 0.10*12,"135,000"
,3368,Ресницы i-Beauty Gliter 6 цвета CC 0.10*11,"135,000"
,3369,Ресницы i-Beauty Gliter 6 цвета CC 0.10*12,"135,000"
,3370,Ресницы i-Beauty Gliter 6 цвета CC 0.10*13,"135,000"
,3371,Ресницы i-Beauty Gliter 6 цвета D 0.10*12,"135,000"
,3372,Ресницы i-Beauty Gliter 6 цвета D 0.10*13,"135,000"
,3373,Ресницы i-Beauty Gliter GOLD  C 0.10*11-14,"135,000"
,3374,Ресницы i-Beauty Gliter GOLD  CC 0.10*11-14,"135,000"
,3375,Ресницы i-Beauty Gliter SILVER C 0.10*11-14,"135,000"
,3376,Ресницы i-Beauty Gliter SILVER CC 0.10*11-14,"135,000"
,3377,Ресницы i-Beauty Triple Blue CC 0.10*10-12,"105,000"
,3378,Ресницы i-Beauty Triple Blue Green CC 0.10*10-12,"105,000"
,3379,Ресницы i-Beauty Triple Gold CC 0.10*10-12,"105,000"
,3380,Ресницы i-Beauty Triple Red CC 0.10*10-12,"105,000"
,3381,Ресницы i-Beauty Triple Sky Blue CC 0.10*10-12,"105,000"
,3382,Ресницы i-Beauty Зелен омбре CC 0.10*10-14,"110,000"
,3383,Ресницы i-Beauty Зелен омбре D 0.10*10-14,"110,000"
,3384,Ресницы i-Beauty Сваровски D 0.10*12(6 лент),"110,000"
,3385,Ресницы i-Beauty Сваровски С 0.10*12(6 лент),"110,000"
,3386,Ресницы i-Beauty Сваровски СС 0.10*12(6 лент),"110,000"
,3387,Ресницы i-Beauty Синие омбре CC 0.10*10-14,"110,000"
,3388,Ресницы i-Beauty Синие омбре D 0.10*10-14,"110,000"
,3389,Ресницы i-Beauty Фиол омбре CC 0.10*10-14,"110,000"
,3390,Ресницы i-Beauty Фиол омбре D 0.10*10-14,"110,000"
,3391,Ресницы Avital  narrow черные 3D C 0.10,"130,000"
,3392,Ресницы Avital  narrow черные 3D C007,"130,000"
,3393,Ресницы Avital  narrow черные 3D D 0.07,"130,000"
,3394,Ресницы Avital  narrow черные 3D D 0.10,"130,000"
,3395,Ресницы Avital  narrow черные 3D M 0.07,"130,000"
,3396,Ресницы Avital  narrow черные 3D M 0.10,"130,000"
,3397,Ресницы Avital  narrow черные 4D C 0.10,"140,000"
,3398,Ресницы Avital  narrow черные 4D C007,"140,000"
,3399,Ресницы Avital  narrow черные 4D D 0.10,"140,000"
,3400,Ресницы Avital  narrow черные 4D D007,"140,000"
,3401,Ресницы Avital  narrow черные 4D M 0.07,"140,000"
,3402,Ресницы Avital  narrow черные 5D C 0.07,"150,000"
,3403,Ресницы Avital  narrow черные 5D C 0.10,"150,000"
,3404,Ресницы Avital  narrow черные 5D D 0.07,"150,000"
